,title,rating,num_ratings,num_reviews,num_awards,language,num_page,cover_type,published_year,genre,author
12398,A Circle of Quiet,4.21,6457.0,739.0,0.0,English,246 pages,Paperback,Published January 1st 1984 by HarperOne (first published 1971),Autobiography,Madeleine L'Engle
12548,All Souls: A Family Story from Southie,4.07,12648.0,890.0,3.0,English,263 pages,Paperback,Published October 3rd 2000 by Ballantine Books (first published September 25th 1999),Nonfiction,Michael Patrick MacDonald
12560,A Queer and Pleasant Danger: The True Story of a Nice Jewish Boy Who Joins the Church of Scientology and Leaves Twelve Years Later to Become the Lovely Lady She is Today,3.94,3110.0,373.0,1.0,English,258 pages,Hardcover,Published May 1st 2012 by Beacon Press,Autobiography,Kate Bornstein
12570,"Prague Winter: A Personal Story of Remembrance and War, 1937-1948",4.02,7117.0,1162.0,1.0,English,467 pages,Hardcover,Published April 24th 2012 by HarperCollins Publishers,Nonfiction,Madeleine K. Albright
12656,The Office BFFs: Tales of The Office from Two Best Friends Who Were There,4.29,15366.0,1957.0,1.0,English,321 pages,ebook,Published May 17th 2022 by Dey Street Books,Nonfiction,Jenna Fischer
12723,I Am Ozzy,4.07,26410.0,1466.0,0.0,English,391 pages,Hardcover,Published January 1st 2010 by Grand Central Publishing (first published 2009),Music,Ozzy Osbourne
12771,"Ocean of Sound: Aether Talk, Ambient Sound and Imaginary Worlds",4.13,1455.0,77.0,0.0,English,320 pages,Paperback,Published February 22nd 2001 by Serpent's Tail (first published 1995),Music,David Toop
12912,Solo,3.95,12218.0,2261.0,2.0,English,463 pages,Kindle Edition,Published July 25th 2017 by Blink,Young Adult,Kwame Alexander
12918,Saucerful of Secrets: The Pink Floyd Odyssey,4.08,2274.0,78.0,0.0,English,348 pages,Paperback,Published June 1st 1992 by Delta (first published 1991),Music,Nicholas Schaffner
13061,"Catch a Wave: The Rise, Fall, and Redemption of the Beach Boys' Brian Wilson",3.97,1343.0,124.0,0.0,English,342 pages,Hardcover,Published July 25th 2006 by Rodale Books (first published June 16th 2006),Music,Peter Ames Carlin
13089,Creative Quest,3.95,3409.0,439.0,1.0,English,288 pages,Hardcover,Published April 24th 2018 by Ecco,Nonfiction,"Ahmir ""Questlove"" Thompson"
13098,Dancing With Myself,3.83,2631.0,368.0,0.0,English,352 pages,Kindle Edition,Published October 7th 2014 by Touchstone (first published October 2014),Music,Billy Idol
13159,Lennon: The Definitive Biography,4.06,1833.0,47.0,0.0,English,784 pages,Paperback,Published January 5th 1993 by Harper Perennial (first published April 15th 1986),Music,Ray Coleman
13166,This Is What It Sounds Like: What the Music You Love Says About You,3.83,732.0,161.0,0.0,English,288 pages,Hardcover,Published September 20th 2022 by W. W. Norton Company,Nonfiction,Susan Rogers
13193,A Romance on Three Legs: Glenn Gould's Obsessive Quest for the Perfect Piano,4.01,1104.0,118.0,0.0,English,272 pages,Hardcover,Published June 10th 2008 by Bloomsbury USA,Music,Katie Hafner
13217,A Song for a New Day,3.98,3857.0,853.0,3.0,English,384 pages,Kindle Edition,Published September 10th 2019 by Berkley,Science Fiction,Sarah Pinsker
13314,Beethoven: The Universal Composer,4.03,1785.0,124.0,0.0,English,256 pages,Hardcover,Published October 4th 2005 by Eminent Lives (first published January 1st 2005),Music,Edmund Morris
13467,Chaos,4.18,5337.0,520.0,0.0,English,432 pages,ebook,Published July 21st 2015 by Avon Impulse,Romance,Jamie Shaw
13749,Jackaby,3.83,28569.0,5015.0,2.0,English,299 pages,Hardcover,Published September 16th 2014 by Algonquin Young Readers,Fantasy,William Ritter
14003,My Cousin Rachel,3.99,52611.0,5753.0,0.0,English,352 pages,ebook,"Published December 17th 2013 by Little, Brown and Company (first published 1951)",Classics,Daphne du Maurier
14083,On What Grounds,3.69,15524.0,1656.0,0.0,English,275 pages,Mass Market Paperback,Published September 1st 2003 by Berkley Books,Mystery,Cleo Coyle
14297,Books Can Be Deceiving,3.84,9833.0,1326.0,0.0,English,282 pages,Mass Market Paperback,Published July 5th 2011 by Berkley Books,Mystery,Jenn McKinlay
14809,The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,4.24,19064.0,2488.0,0.0,English,288 pages,Hardcover,Published April 28th 2009 by William Morrow,Nonfiction,Daniel James Brown
14823,Manufacturing Consent: The Political Economy of the Mass Media,4.24,19064.0,1015.0,0.0,English,412 pages,Paperback,Published 2002 by Pantheon (first published 1988),Politics,Edward S. Herman
14962,Boy: Tales of Childhood,4.07,65354.0,3256.0,0.0,English,176 pages,Paperback,Published April 5th 2001 by Puffin Books (first published 1984),Nonfiction,Roald Dahl
15004,Smarter Faster Better: The Secrets of Being Productive in Life and Business,3.9,31748.0,2396.0,1.0,English,400 pages,Hardcover,Published March 8th 2016 by Random House (first published March 2016),Nonfiction,Charles Duhigg
15154,War of the Foxes,4.14,5989.0,810.0,1.0,English,49 pages,Paperback,Published April 28th 2015 by Copper Canyon Press,Poetry,Richard Siken
15225,Faithful and Virtuous Night,3.96,4428.0,639.0,3.0,English,71 pages,Hardcover,"Published September 9th 2014 by Farrar, Straus and Giroux (first published September 6th 2014)",Poetry,Louise Glück
15257,Aimless Love: New and Selected Poems,4.18,5337.0,747.0,2.0,English,261 pages,Hardcover,Published October 22nd 2013 by Random House,Poetry,Billy Collins
15444,Winter Recipes from the Collective,4.03,1785.0,288.0,0.0,English,46 pages,Hardcover,"Published October 26th 2021 by Farrar, Straus and Giroux (first published October 19th 2021)",Poetry,Louise Glück
15456,The Undefeated,4.68,6142.0,1456.0,7.0,English,40 pages,Hardcover,Published April 2nd 2019 by Versify,Childrens,Kwame Alexander
15464,Good Bones,4.31,1605.0,227.0,0.0,English,99 pages,Paperback,"Published October 2nd 2017 by Tupelo Press, Inc. (first published October 1st 2017)",Poetry,Maggie Smith
15538,Whale Day: And Other Poems,4.07,1582.0,311.0,1.0,English,111 pages,Hardcover,Published September 29th 2020 by Random House,Poetry,Billy Collins
15626,How to Be Drawn,4.18,1013.0,123.0,4.0,English,112 pages,Paperback,Published March 31st 2015 by Penguin Books,Poetry,Terrance Hayes
15654,My Life Had Stood a Loaded Gun,3.85,2055.0,246.0,0.0,English,52 pages,Paperback,Published March 3rd 2016 by Penguin Classics (first published 1880),Poetry,Emily Dickinson
15671,"Collected Poems, 1912-1944",4.15,1931.0,43.0,0.0,English,672 pages,Paperback,Published February 17th 1986 by New Directions (first published 1944),Poetry,H.D.
15707,The Erotic Poems,4.08,2274.0,98.0,0.0,English,464 pages,Paperback,Published February 24th 1983 by Penguin Classics (first published -2),Poetry,Ovid
15912,Tell Me the Truth about Love,3.97,1343.0,116.0,0.0,English,40 pages,Paperback,Published October 4th 2005 by Faber and Faber (first published 1994),Poetry,W.H. Auden
16135,Smarter Faster Better: The Secrets of Being Productive in Life and Business,3.9,31748.0,2397.0,1.0,English,400 pages,Hardcover,Published March 8th 2016 by Random House (first published March 2016),Nonfiction,Charles Duhigg
16301,The Feeling of What Happens: Body and Emotion in the Making of Consciousness,4.01,3789.0,108.0,0.0,English,400 pages,Paperback,Published October 10th 2000 by Mariner Books (first published 1999),Psychology,António R. Damásio
16376,Proust and the Squid: The Story and Science of the Reading Brain,3.83,6590.0,825.0,0.0,English,308 pages,Hardcover,Published September 4th 2007 by Harper (first published 2007),Nonfiction,Maryanne Wolf
16422,The Nurture Assumption: Why Children Turn Out the Way They Do,4.12,1706.0,179.0,1.0,English,462 pages,Paperback,Published September 14th 1999 by Free Press (first published 1998),Psychology,Judith Rich Harris
16485,Mind in Society: The Development of Higher Psychological Processes,4.18,1013.0,59.0,0.0,English,159 pages,Paperback,Published October 15th 1980 by Harvard University Press (first published 1978),Psychology,Lev S. Vygotsky
16606,"Type Talk: The 16 Personality Types That Determine How We Live, Love, and Work",4.04,1883.0,66.0,0.0,English,289 pages,Paperback,Published September 1st 1989 by Dell (first published 1988),Psychology,Otto Kroeger
16636,"The Dark Side of the Light Chasers: Reclaiming Your Power, Creativity, Brilliance and Dreams",4.08,7466.0,547.0,0.0,English,208 pages,Paperback,Published June 1st 1999 by G P Putnam's Sons (first published May 18th 1998),Psychology,Debbie Ford
16645,The Extended Mind: The Power of Thinking Outside the Brain,4.06,1833.0,260.0,0.0,English,352 pages,Kindle Edition,Published June 8th 2021 by Houghton Mifflin Harcourt,Nonfiction,Annie Murphy Paul
17338,Unearthly,4.02,125898.0,7901.0,1.0,English,435 pages,Hardcover,Published January 4th 2011 by HarperTeen,Young Adult,Cynthia Hand
17804,Hacking Darwin: Genetic Engineering and the Future of Humanity,4.02,3025.0,378.0,1.0,English,327 pages,Hardcover,Published May 23rd 2019 by Sourcebooks (first published April 23rd 2019),Science,Jamie Metzl
17832,Unstoppable: Harnessing Science to Change the World,4.15,3546.0,419.0,0.0,English,341 pages,Hardcover,Published November 10th 2015 by St. Martin's Press,Science,Bill Nye
17901,Gory Details: Adventures from the Dark Side of Science,4.12,2314.0,332.0,0.0,English,336 pages,Hardcover,Published March 2nd 2021 by National Geographic Society,Nonfiction,Erika Engelhaupt
17941,Quantum: A Guide for the Perplexed,4.14,1868.0,134.0,0.0,English,280 pages,Paperback,Published September 1st 2004 by Orion Publishing (first published 2003),Science,Jim Al-Khalili
17953,Darwin Comes to Town: How the Urban Jungle Drives Evolution,4.07,1582.0,220.0,1.0,English,304 pages,Hardcover,Published April 3rd 2018 by Picador USA (first published February 8th 2018),Science,Menno Schilthuizen
18048,The Globe,3.94,6022.0,189.0,0.0,English,368 pages,Paperback,Published 2003 by Ebury Press (first published 2002),Fantasy,Terry Pratchett
18156,Darwin's Ghost: The Origin of Species Updated,3.89,1463.0,71.0,0.0,English,416 pages,Paperback,Published April 3rd 2001 by Ballantine Books (first published 1999),Science,Steve Jones
18178,The Dorito Effect: The Surprising New Truth About Food and Flavor,4.02,7117.0,1097.0,1.0,English,259 pages,Hardcover,Published May 5th 2015 by Simon Schuster,Nonfiction,Mark Schatzker
18369,Warcross,4.15,106167.0,17314.0,5.0,English,366 pages,Kindle Edition,Published September 12th 2017 by G.P. Putnam's Sons Books for Young Readers,Young Adult,Marie Lu
18991,Little Fuzzy,4.02,9679.0,640.0,2.0,English,252 pages,Mass Market Paperback,Published July 1st 2007 by Cosmos Books (first published 1962),Science Fiction,H. Beam Piper
19047,Raven Stratagem,4.11,8140.0,926.0,3.0,English,355 pages,Paperback,Published June 13th 2017 by Solaris,Science Fiction,Yoon Ha Lee
19229,"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",4.33,14729.0,1631.0,0.0,English,282 pages,ebook,Published March 16th 2021 by Tarcherperigee,Self Help,Nedra Glover Tawwab
19456,Thanks for the Feedback: The Science and Art of Receiving Feedback Well,4.06,6892.0,740.0,0.0,English,348 pages,Hardcover,Published March 4th 2014 by Viking,Nonfiction,Douglas Stone
19517,Hero,4.04,5657.0,371.0,0.0,English,240 pages,ebook,Published November 19th 2013 by Atria Books,Self Help,Rhonda Byrne
19782,Catching Jordan,3.84,61993.0,3714.0,1.0,English,288 pages,Paperback,Published January 1st 2012 by Sourcebooks Fire (first published December 1st 2011),Young Adult,Miranda Kenneally
19887,The Cad and the Co-Ed,3.95,12218.0,1210.0,0.0,English,337 pages,Kindle Edition,Published February 12th 2017,Romance,L.H. Cosway
20003,The Shameless Hour,4.01,8795.0,879.0,0.0,English,336 pages,Kindle Edition,Published April 12th 2015 by Tuxbury Publishing LLC,Romance,Sarina Bowen
20161,Francona: The Red Sox Years,3.95,3409.0,368.0,1.0,English,368 pages,Hardcover,Published January 22nd 2013 by Houghton Mifflin Harcourt (first published January 1st 2013),Sports,Terry Francona
20194,"Black Brother, Black Brother",4.21,6457.0,1020.0,2.0,English,240 pages,Hardcover,"Published March 3rd 2020 by Little, Brown Books for Young Readers",Childrens,Jewell Parker Rhodes
20275,Rookie Move,4.14,4035.0,383.0,0.0,English,287 pages,Kindle Edition,Published May 20th 2022 (first published May 16th 2022),Romance,Riley Hart
20293,Rules of Contact,3.94,3110.0,257.0,0.0,English,347 pages,ebook,Published December 6th 2016 by Berkley,Romance,Jaci Burton
20320,Undisputed Truth,4.17,8623.0,760.0,1.0,English,592 pages,Hardcover,Published November 12th 2013 by Blue Rider Press,Biography,Mike Tyson
20368,Unstoppable,4.37,3797.0,576.0,1.0,English,352 pages,Hardcover,Published September 18th 2012 by HarperCollins,Sports,Tim Green
20452,Blitzing Emily,3.85,2055.0,165.0,0.0,English,496 pages,ebook,Published January 7th 2014 by Avon Impulse,Romance,Julie Brannagh
20456,The Penalty Box,3.8,2994.0,104.0,0.0,English,352 pages,Paperback,Published March 7th 2006 by Berkley Books,Romance,Deirdre Martin
20500,When March Went Mad: The Game That Transformed Basketball,4.01,1104.0,109.0,0.0,English,323 pages,Hardcover,Published March 3rd 2009 by Times Books (first published February 17th 2009),Sports,Seth Davis
21557,Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before,4.02,9679.0,684.0,0.0,English,480 pages,Paperback,Published August 1st 2003 by Picador USA (first published October 1st 2002),Travel,Tony Horwitz
21628,Long Way Down,3.92,5833.0,271.0,0.0,English,336 pages,Hardcover,Published October 10th 2007 by Sphere (first published 2004),Travel,Ewan McGregor
21782,On the Trail of Genghis Khan: An Epic Journey Through the Land of the Nomads,4.12,1706.0,252.0,3.0,English,528 pages,Hardcover,Published September 24th 2013 by Bloomsbury USA (first published 2013),Travel,Tim Cope
21930,The Rough Guide First-Time Around the World: A Trip Planner for the Ultimate Journey,4.03,496.0,46.0,0.0,English,367 pages,Paperback,Published March 20th 2006 by Rough Guides (first published 2003),Travel,Doug Lansky
21943,Time Was Soft There: A Paris Sojourn at Shakespeare & Co.,3.85,3621.0,572.0,0.0,English,260 pages,Paperback,Published September 19th 2006 by Picador USA (first published January 1st 2005),Nonfiction,Jeremy Mercer
21955,In Europe: Travels Through the Twentieth Century,4.34,3899.0,307.0,3.0,English,752 pages,Hardcover,Published March 27th 2007 by Harvill Secker (first published 2004),History,Geert Mak
22191,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,4.02,3025.0,508.0,2.0,English,410 pages,Hardcover,Published January 25th 2022 by Ecco,Nonfiction,Imani Perry
22336,The Almond Blossom Appreciation Society,4.04,1883.0,87.0,0.0,English,256 pages,Paperback,Published June 1st 2006 by Sort of Books (first published May 26th 2006),Travel,Chris Stewart
22549,Warcross,4.15,106167.0,17315.0,5.0,English,366 pages,Kindle Edition,Published September 12th 2017 by G.P. Putnam's Sons Books for Young Readers,Young Adult,Marie Lu
22979,Jackaby,3.83,28569.0,5016.0,2.0,English,299 pages,Hardcover,Published September 16th 2014 by Algonquin Young Readers,Fantasy,William Ritter
23043,Sandry's Book,4.02,41942.0,1247.0,2.0,English,252 pages,Mass Market Paperback,Published June 24th 2006 by Scholastic (first published September 1st 1997),Fantasy,Tamora Pierce
23060,Catching Jordan,3.84,61993.0,3715.0,1.0,English,288 pages,Paperback,Published January 1st 2012 by Sourcebooks Fire (first published December 1st 2011),Young Adult,Miranda Kenneally
23087,East,4.14,42601.0,3093.0,3.0,English,507 pages,Paperback,Published May 1st 2005 by HMH Books for Young Readers (first published September 1st 2003),Fantasy,Edith Pattou
23176,The Girl from Everywhere,3.69,15524.0,2741.0,1.0,English,454 pages,Hardcover,Published February 16th 2016 by Greenwillow Books,Fantasy,Heidi Heilig
23219,Ptolemy's Gate,4.27,83772.0,2385.0,3.0,English,501 pages,Hardcover,Published January 1st 2006 by Hyperion/Miramax (first published October 2005),Fantasy,Jonathan Stroud
